pairname,comparison_id,prot1,chain1,prot2,chain2,protein1_residues,protein2_residues,alignment_score
d1htjf_-F_80-d1nhua_-A_81,d1htjf_d1nhua_,d1htjf_,F,d1nhua_,A,"(130, 182)","(482, 533)",78.15286878393445
d1i9ea_-A_82-d1mzka_-A_83,d1i9ea_d1mzka_,d1i9ea_,A,d1mzka_,A,"(61, 71)","(53, 63)",15.709423998924601
d1i9ea_-A_84-d1nppa1-A_85,d1i9ea_d1nppa1,d1i9ea_,A,d1nppa1,A,"(31, 72)","(47, 88)",81.4810391384862
d1ihoa_-A_86-d1ep7a_-A_87,d1ihoa_d1ep7a_,d1ihoa_,A,d1ep7a_,A,"(0, 40)","(2, 42)",83.43990429220047
d1is8a_-A_88-d1umwa1-A_89,d1is8a_d1umwa1,d1is8a_,A,d1umwa1,A,"(175, 188)","(96, 109)",25.313428442216985
d1izna_-A_244-d1gkza1-A_246,d1izna_d1gkza1,d1izna_,A,d1gkza1,A,"(108, 133)","(157, 182)",59.34363844427374
d1izna_-B_245-d1gkza1-A_246,d1izna_d1gkza1,d1izna_,B,d1gkza1,A,"(89, 116)","(157, 184)",63.69779394103818
d1izna_-A_212-d1keka2-A_214,d1izna_d1keka2,d1izna_,A,d1keka2,A,"(112, 139)","(426, 453)",64.56188467004237
d1izna_-B_213-d1keka2-A_214,d1izna_d1keka2,d1izna_,B,d1keka2,A,"(92, 135)","(425, 468)",91.31032166322174
d1izna_-A_261-d2gsca_-A_263,d1izna_d2gsca_,d1izna_,A,d2gsca_,A,"(111, 123)","(5, 17)",18.743990176693515
d1izna_-B_262-d2gsca_-A_263,d1izna_d2gsca_,d1izna_,B,d2gsca_,A,"(263, 270)","(106, 113)",12.201705327615084
d1j22a_-A_90-d1m2aa_-A_91,d1j22a_d1m2aa_,d1j22a_,A,d1m2aa_,A,"(106, 124)","(70, 88)",31.76077172161152
d1jdbc2-C_92-d1r9ca_-A_93,d1jdbc2d1r9ca_,d1jdbc2,C,d1r9ca_,A,"(334, 351)","(99, 116)",26.402202295541954
d1jnwa_-A_94-d1ew4a_-A_95,d1jnwa_d1ew4a_,d1jnwa_,A,d1ew4a_,A,"(25, 44)","(8, 27)",38.294421632816515
d1k2fa_-A_96-d1svb_2-A_97,d1k2fa_d1svb_2,d1k2fa_,A,d1svb_2,A,"(99, 123)","(312, 336)",43.250036146205204
d1k9ka_-A_215-d1abv__-A_217,d1k9ka_d1abv__,d1k9ka_,A,d1abv__,A,"(79, 89)","(95, 105)",19.14021417964677
d1k9ka_-B_216-d1abv__-A_217,d1k9ka_d1abv__,d1k9ka_,B,d1abv__,A,"(79, 89)","(95, 105)",19.14021417964677
d1knza_-A_218-d1rp3a3-A_220,d1knza_d1rp3a3,d1knza_,A,d1rp3a3,A,"(0, 61)","(7, 68)",114.86899556778623
d1knza_-B_219-d1rp3a3-A_220,d1knza_d1rp3a3,d1knza_,B,d1rp3a3,A,"(0, 43)","(2, 45)",101.69903269063028
d1knza_-A_221-d1vola1-A_223,d1knza_d1vola1,d1knza_,A,d1vola1,A,"(21, 40)","(10, 29)",35.92706688360969
d1knza_-B_222-d1vola1-A_223,d1knza_d1vola1,d1knza_,B,d1vola1,A,"(23, 43)","(7, 27)",41.52140621904873
d1l6ra_-A_98-d1ir6a_-A_99,d1l6ra_d1ir6a_,d1l6ra_,A,d1ir6a_,A,"(20, 47)","(8, 35)",50.30148946384101
d1l6ra_-A_100-d1nrva_-A_101,d1l6ra_d1nrva_,d1l6ra_,A,d1nrva_,A,"(41, 63)","(8, 30)",45.70745093192611
d1lci__-A_102-d1lla_1-A_103,d1lci__d1lla_1,d1lci__,A,d1lla_1,A,"(453, 480)","(519, 546)",51.06905675135855
d1lq7a_-A_264-d1gqea_-A_265,d1lq7a_d1gqea_,d1lq7a_,A,d1gqea_,A,"(0, 37)","(0, 37)",64.22226905532355
d1lwda_-A_104-d1a5t_1-A_105,d1lwda_d1a5t_1,d1lwda_,A,d1a5t_1,A,"(392, 414)","(299, 321)",53.79146296166334
d1m9na2-A_224-d1j27a_-A_225,d1m9na2d1j27a_,d1m9na2,A,d1j27a_,A,"(32, 50)","(26, 44)",33.816974789453624
d1miwa2-A_106-d1gyfa_-A_107,d1miwa2d1gyfa_,d1miwa2,A,d1gyfa_,A,"(79, 92)","(4, 17)",25.91350741627134
d1mk5a_-A_226-d1efub2-B_228,d1mk5a_d1efub2,d1mk5a_,A,d1efub2,B,"(10, 38)","(55, 83)",32.94376875285545
d1mk5a_-B_227-d1efub2-B_228,d1mk5a_d1efub2,d1mk5a_,B,d1efub2,B,"(8, 36)","(55, 83)",38.62688717829174
d1mw5a_-A_229-d1bco_1-A_231,d1mw5a_d1bco_1,d1mw5a_,A,d1bco_1,A,"(43, 74)","(51, 82)",41.21744235899826
d1mw5a_-B_230-d1bco_1-A_231,d1mw5a_d1bco_1,d1mw5a_,B,d1bco_1,A,"(43, 74)","(51, 82)",41.21744235899826
d1n00a_-A_232-d1aa7a_-A_233,d1n00a_d1aa7a_,d1n00a_,A,d1aa7a_,A,"(4, 29)","(10, 35)",51.90809502128313
d1n7va_-A_108-d1izna_-A_109,d1n7va_d1izna_,d1n7va_,A,d1izna_,A,"(452, 474)","(132, 154)",48.1260214456532
d1nf2a_-A_110-d1ptma_-A_111,d1nf2a_d1ptma_,d1nf2a_,A,d1ptma_,A,"(250, 267)","(312, 329)",26.228947289200395
d1nkta3-A_112-d1ldja1-A_113,d1nkta3d1ldja1,d1nkta3,A,d1ldja1,A,"(746, 835)","(636, 725)",165.68464690563204
d1o02a_-A_114-d1ihna_-A_115,d1o02a_d1ihna_,d1o02a_,A,d1ihna_,A,"(11, 43)","(1, 33)",56.40182651380454
d1o17d2-D_116-d1ir6a_-A_117,d1o17d2d1ir6a_,d1o17d2,D,d1ir6a_,A,"(71, 108)","(22, 59)",41.695552308671644
d1o17d2-D_118-d1jyra_-A_119,d1o17d2d1jyra_,d1o17d2,D,d1jyra_,A,"(228, 252)","(37, 61)",50.58899557182518
d1ogqa_-A_120-d1fjgc1-C_121,d1ogqa_d1fjgc1,d1ogqa_,A,d1fjgc1,C,"(2, 25)","(29, 52)",46.459399558302295
d1ogsa2-A_122-d1dq3a4-A_123,d1ogsa2d1dq3a4,d1ogsa2,A,d1dq3a4,A,"(30, 77)","(46, 93)",93.89819533189683
d1ogsa2-A_124-d1is1a_-A_125,d1ogsa2d1is1a_,d1ogsa2,A,d1is1a_,A,"(282, 300)","(69, 87)",29.804789379240837
d1oi2a_-A_266-d1uw1a_-A_267,d1oi2a_d1uw1a_,d1oi2a_,A,d1uw1a_,A,"(333, 338)","(64, 69)",5.410521479630567
d1okra_-A_234-d1m98a1-A_236,d1okra_d1m98a1,d1okra_,A,d1m98a1,A,"(5, 20)","(195, 210)",31.09299029046593
d1okra_-B_235-d1m98a1-A_236,d1okra_d1m98a1,d1okra_,B,d1m98a1,A,"(8, 23)","(195, 210)",23.22551177296086
d1okra_-A_237-d1v9da_-A_239,d1okra_d1v9da_,d1okra_,A,d1v9da_,A,"(0, 22)","(3, 25)",32.77779812699962
d1okra_-B_238-d1v9da_-A_239,d1okra_d1v9da_,d1okra_,B,d1v9da_,A,"(1, 18)","(0, 17)",26.599311192849687
d1omoa_-A_240-d1i7b.1-B_242,d1omoa_d1i7b.1,d1omoa_,A,d1i7b.1,B,"(161, 182)","(29, 50)",42.26761933089414
d1omoa_-A_240-d1i7b.1-A_243,d1omoa_d1i7b.1,d1omoa_,A,d1i7b.1,A,"(36, 72)","(142, 178)",66.64098327504077
d1omoa_-B_241-d1i7b.1-B_242,d1omoa_d1i7b.1,d1omoa_,B,d1i7b.1,B,"(161, 182)","(29, 50)",42.26761933089414
d1omoa_-B_241-d1i7b.1-A_243,d1omoa_d1i7b.1,d1omoa_,B,d1i7b.1,A,"(36, 72)","(142, 178)",66.64098327504077
d1ovma1-A_126-d1914_2-A_127,d1ovma1d1914_2,d1ovma1,A,d1914_2,A,"(186, 212)","(91, 117)",51.23688523390014
d1p5gx1-X_128-d1xppa_-A_129,d1p5gx1d1xppa_,d1p5gx1,X,d1xppa_,A,"(407, 440)","(41, 74)",61.776061128648855
d1pdz_1-A_130-d1b66a_-A_131,d1pdz_1d1b66a_,d1pdz_1,A,d1b66a_,A,"(212, 242)","(93, 123)",70.62010372254267
d1pdz_1-A_132-d1irum_-M_133,d1pdz_1d1irum_,d1pdz_1,A,d1irum_,M,"(58, 106)","(58, 106)",96.03658533946678
d1piea1-A_134-d1nxha_-A_135,d1piea1d1nxha_,d1piea1,A,d1nxha_,A,"(276, 305)","(88, 117)",54.56944782216049
d1piea1-A_136-d1q0qa1-A_137,d1piea1d1q0qa1,d1piea1,A,d1q0qa1,A,"(279, 332)","(315, 368)",93.316745949038
d1pqsa_-A_268-d1i7la2-A_269,d1pqsa_d1i7la2,d1pqsa_,A,d1i7la2,A,"(43, 69)","(163, 189)",61.99461516375466
d1pqsa_-A_270-d1poh__-A_271,d1pqsa_d1poh__,d1pqsa_,A,d1poh__,A,"(36, 62)","(29, 55)",67.15029018802171
d1ps6a_-A_247-d1f9za_-A_248,d1ps6a_d1f9za_,d1ps6a_,A,d1f9za_,A,"(68, 89)","(50, 71)",46.29244469585614
d1qd1b1-B_138-d1itwa_-A_139,d1qd1b1d1itwa_,d1qd1b1,B,d1itwa_,A,"(0, 45)","(1, 46)",84.7770033670634
d1qd1b1-B_140-d1n62c2-C_141,d1qd1b1d1n62c2,d1qd1b1,B,d1n62c2,C,"(109, 147)","(123, 160)",53.490170341119374
d1qh4a2-A_142-d1ekga_-A_143,d1qh4a2d1ekga_,d1qh4a2,A,d1ekga_,A,"(353, 380)","(91, 118)",59.194642017429935
d1qnia1-A_144-d1k4za_-A_145,d1qnia1d1k4za_,d1qnia1,A,d1k4za_,A,"(466, 481)","(0, 15)",36.16236056721661
d1qo0d_-D_249-d1hjp_1-A_251,d1qo0d_d1hjp_1,d1qo0d_,D,d1hjp_1,A,"(145, 189)","(139, 183)",64.48431333413602
d1qo0d_-E_250-d1hjp_1-A_251,d1qo0d_d1hjp_1,d1qo0d_,E,d1hjp_1,A,"(145, 192)","(139, 186)",73.52380277392125
d1qysa_-A_272-d1i7b.1-B_273,d1qysa_d1i7b.1,d1qysa_,A,d1i7b.1,B,"(64, 92)","(33, 61)",63.40895222584233
d1qysa_-A_272-d1i7b.1-A_274,d1qysa_d1i7b.1,d1qysa_,A,d1i7b.1,A,"(24, 44)","(18, 38)",35.886318775610846
d1r2ja2-A_252-d1ecmb_-B_253,d1r2ja2d1ecmb_,d1r2ja2,A,d1ecmb_,B,"(341, 353)","(83, 95)",26.168748234365694
d1rwha2-A_254-d1n67a2-A_255,d1rwha2d1n67a2,d1rwha2,A,d1n67a2,A,"(720, 753)","(230, 263)",66.98112130905031
d1slca_-A_146-d1sq9a_-A_147,d1slca_d1sq9a_,d1slca_,A,d1sq9a_,A,"(50, 111)","(243, 304)",70.3050685229747
d1smta_-A_256-d1b7ta4-A_258,d1smta_d1b7ta4,d1smta_,A,d1b7ta4,A,"(66, 97)","(681, 712)",61.06632684117279
d1smta_-B_257-d1b7ta4-A_258,d1smta_d1b7ta4,d1smta_,B,d1b7ta4,A,"(70, 98)","(681, 709)",60.53110025564726
d1st6a2-A_259-d1jqna_-A_260,d1st6a2d1jqna_,d1st6a2,A,d1jqna_,A,"(955, 1019)","(810, 874)",159.23174600933163
d1st6a8-A_148-d1gvna_-A_149,d1st6a8d1gvna_,d1st6a8,A,d1gvna_,A,"(2, 38)","(0, 36)",61.52778320231843
d1st6a8-A_150-d1r5id_-D_151,d1st6a8d1r5id_,d1st6a8,A,d1r5id_,D,"(260, 312)","(92, 144)",53.79733083176602
d1tv8a_-A_152-d1nbwb_-B_153,d1tv8a_d1nbwb_,d1tv8a_,A,d1nbwb_,B,"(290, 308)","(84, 102)",32.18453819546457
d1tv8a_-A_154-d1t3ea3-A_155,d1tv8a_d1t3ea3,d1tv8a_,A,d1t3ea3,A,"(229, 253)","(278, 302)",57.16884604453586
d1ukfa_-A_156-d1gsa_2-A_157,d1ukfa_d1gsa_2,d1ukfa_,A,d1gsa_2,A,"(104, 141)","(141, 178)",45.20158907490163
d1uoua1-A_158-d1fs1b1-B_159,d1uoua1d1fs1b1,d1uoua1,A,d1fs1b1,B,"(32, 67)","(69, 104)",65.787487942399
d1ur3m_-M_160-d1k87a1-A_161,d1ur3m_d1k87a1,d1ur3m_,M,d1k87a1,A,"(161, 283)","(284, 408)",114.86812830106776
d1uw1a_-A_275-d1q9ua_-A_276,d1uw1a_d1q9ua_,d1uw1a_,A,d1q9ua_,A,"(25, 53)","(80, 108)",32.8449720898864
d1uyra1-A_162-d1vkka_-A_163,d1uyra1d1vkka_,d1uyra1,A,d1vkka_,A,"(75, 104)","(54, 83)",61.683385483259705
d1uyrb1-B_164-d1a79a1-A_165,d1uyrb1d1a79a1,d1uyrb1,B,d1a79a1,A,"(473, 503)","(127, 157)",48.275081786428046
d1vaoa2-A_166-d1no5a_-A_167,d1vaoa2d1no5a_,d1vaoa2,A,d1no5a_,A,"(7, 34)","(0, 27)",57.919717332932606
d1vk3a3-A_168-d1lbu_2-A_169,d1vk3a3d1lbu_2,d1vk3a3,A,d1lbu_2,A,"(194, 223)","(110, 139)",63.674272167510594
d1vk3a3-A_170-d1w2ia_-A_171,d1vk3a3d1w2ia_,d1vk3a3,A,d1w2ia_,A,"(264, 301)","(41, 80)",55.79546448317713
d2csta_-A_172-d1j4wa1-A_173,d2csta_d1j4wa1,d2csta_,A,d1j4wa1,A,"(264, 287)","(119, 142)",52.95829735810797
d2gaw.1-A_174-d1nppa1-A_176,d2gaw.1d1nppa1,d2gaw.1,A,d1nppa1,A,"(0, 29)","(6, 36)",57.405190199602764
d2gaw.1-B_175-d1nppa1-A_176,d2gaw.1d1nppa1,d2gaw.1,B,d1nppa1,A,"(46, 76)","(7, 37)",57.72871451410307
d2onea1-A_177-d1hz6b_-B_178,d2onea1d1hz6b_,d2onea1,A,d1hz6b_,B,"(1, 23)","(0, 22)",44.00395736332257
d3pmga1-A_179-d1e8ca1-A_180,d3pmga1d1e8ca1,d3pmga1,A,d1e8ca1,A,"(387, 413)","(302, 328)",63.58618378074348
d6mhta_-A_181-d1vm0b_-B_182,d6mhta_d1vm0b_,d6mhta_,A,d1vm0b_,B,"(160, 175)","(75, 90)",36.29951877203765
